message_text,label,category
Reminder: University fee due date 15 October. Please visit student portal.,safe,Event_Notice
Aapka university scholarship delayed hai. Details ke liye apna account number dein.,phishing,Scholarship_Job_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://verify-now.net/1hjwdc,phishing,Delivery_Scam
Aapka OTP 738776 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
JazzCash: Suspicious transaction detect hui. Account verify karein: http://secure-pay.com/mx08k0,phishing,MobileWallet_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://secure-pay.com/ddf4ce,phishing,Delivery_Scam
Tax department se notice: Aapki tax file incomplete hai. Jaldi action lein: http://tinyurl.com/9dnw89,phishing,Government_Scam
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://bit.ly/9p31p6,phishing,MobileWallet_Scam
Operator: Aapki SIM successfully activated.,safe,MobileOperator
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
Operator: Aapki SIM successfully activated.,safe,MobileOperator
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
University: Kal class online 10:00 AM par shuru hogi. Zoom link department se bheji jayegi.,safe,University_Notice
Bank: Aapka statement ready hai. Portal par login karein.,safe,Bank_Notice
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://tinyurl.com/mrueql,phishing,Credential_Theft
Scholarship committee ne apko select kar liya hai. Details ke liye apna CNIC bhejein.,phishing,Scholarship_Job_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/gumqy1,phishing,Scholarship_Job_Scam
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://tinyurl.com/edgpss,phishing,Fake_Prize_Scam
Scholarship committee ne apko select kar liya hai. Details ke liye apna CNIC bhejein.,phishing,Scholarship_Job_Scam
Aapka OTP 003561 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://bit.ly/e98c20,phishing,Bank_Scam
Notification: Account settings updated successfully.,safe,System_Alert
Aapka OTP 835917 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Bank: Aapka statement ready hai. Portal par login karein.,safe,Bank_Notice
Aapka university scholarship delayed hai. Details ke liye apna account number dein.,phishing,Scholarship_Job_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://verify-now.net/1f62rj,phishing,Bank_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/z3o805,phishing,Scholarship_Job_Scam
Alert: New device login detected. Agar yeh aap hain to ignore karein.,safe,System_Alert
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://verify-now.net/hsois8,phishing,Credential_Theft
Aapki salary deposit fail hui hai. Bank confirm karein: http://verify-now.net/vpws3q,phishing,Bank_Scam
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Payment confirmation ke liye yeh link click karein: http://verify-now.net/7ecuay — varna transaction cancel ho jayegi.,phishing,Fake_Prize_Scam
Notification: Account settings updated successfully.,safe,System_Alert
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://verify-now.net/usp3ya,phishing,Fake_Prize_Scam
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Bank Alert: Apke account me suspicious activity nazar ayi. Verify karne ke liye yeh link open karein: http://tinyurl.com/0p2aq2,phishing,Bank_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/20b41w,phishing,Scholarship_Job_Scam
Tax department se notice: Aapki tax file incomplete hai. Jaldi action lein: http://tinyurl.com/ho07kn,phishing,Government_Scam
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Operator: Aapki SIM successfully activated.,safe,MobileOperator
Payment confirmation ke liye yeh link click karein: http://tinyurl.com/i8jfi8 — varna transaction cancel ho jayegi.,phishing,Fake_Prize_Scam
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://tinyurl.com/ugsh2p,phishing,Fake_Prize_Scam
University: Aapka email deactivate ho raha hai. Reactivate karne ke liye credentials provide karein.,phishing,Credential_Theft
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://secure-pay.com/gwnaha,phishing,MobileWallet_Scam
Bank Alert: Apke account me suspicious activity nazar ayi. Verify karne ke liye yeh link open karein: http://bit.ly/ee16r8,phishing,Bank_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://verify-now.net/x436z1,phishing,Bank_Scam
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
Aapka OTP 229001 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Notification: Account settings updated successfully.,safe,System_Alert
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/wqbrwc,phishing,Scholarship_Job_Scam
Delivery company: Apke parcel ka shipment address confirm karein: http://secure-pay.com/7h2pjh,phishing,Delivery_Scam
University: Aapka email deactivate ho raha hai. Reactivate karne ke liye credentials provide karein.,phishing,Credential_Theft
Bank: Aapka statement ready hai. Portal par login karein.,safe,Bank_Notice
Bank: Apki transaction successful hui. Amount Rs. 1200.,safe,Bank_Notice
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://bit.ly/2k39bx,phishing,Scholarship_Job_Scam
Aapka university scholarship delayed hai. Details ke liye apna account number dein.,phishing,Scholarship_Job_Scam
Easypaisa: Ap ne Rs. 250 ka payment successful kiya. Receipt sent.,safe,MobileWallet_Confirm
Aapki salary deposit fail hui hai. Bank confirm karein: http://tinyurl.com/8vnv7q,phishing,Bank_Scam
Bank: Apki transaction successful hui. Amount Rs. 1500.,safe,Bank_Notice
Aapki salary deposit fail hui hai. Bank confirm karein: http://secure-pay.com/f7ojzm,phishing,Bank_Scam
Event: Tech seminar on 20th October. Registration link portal par maujood hai.,safe,Event_Notice
Aapka university scholarship delayed hai. Details ke liye apna account number dein.,phishing,Scholarship_Job_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://tinyurl.com/dkseuf,phishing,Bank_Scam
Bank: Apki transaction successful hui. Amount Rs. 1200.,safe,Bank_Notice
Payment confirmation ke liye yeh link click karein: http://secure-pay.com/0jhhb7 — varna transaction cancel ho jayegi.,phishing,Fake_Prize_Scam
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
Aapka OTP 919527 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Event: Tech seminar on 20th October. Registration link portal par maujood hai.,safe,Event_Notice
Alert: New device login detected. Agar yeh aap hain to ignore karein.,safe,System_Alert
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://secure-pay.com/8nmsu7,phishing,Government_Scam
Payment confirmation ke liye yeh link click karein: http://secure-pay.com/ct1mrq — varna transaction cancel ho jayegi.,phishing,Fake_Prize_Scam
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Delivery company: Apke parcel ka shipment address confirm karein: http://bit.ly/1ip12v,phishing,Delivery_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://secure-pay.com/bust4q,phishing,Scholarship_Job_Scam
Reminder: University fee due date 15 October. Please visit student portal.,safe,Event_Notice
Emergency! Apki payment fail hui hai. Verify karne ke liye apni details bhejein.,phishing,Misc_Scam
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
Aapki debit card limit exceed ho gai. Apna card verify karein: http://bit.ly/i199mn,phishing,Bank_Scam
Account recovery: Apna username aur password yahan enter karein: http://verify-now.net/8qm8vl,phishing,Credential_Theft
Easypaisa: Ap ne Rs. 100 ka payment successful kiya. Receipt sent.,safe,MobileWallet_Confirm
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://secure-pay.com/uldock,phishing,Government_Scam
Event: Tech seminar on 20th October. Registration link portal par maujood hai.,safe,Event_Notice
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://bit.ly/hhpy8u,phishing,Delivery_Scam
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://secure-pay.com/zrl1s7,phishing,Bank_Scam
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Bank: Apki transaction successful hui. Amount Rs. 1200.,safe,Bank_Notice
JazzCash: Aapka transfer Rs. 2500 complete hogaya.,safe,MobileWallet_Confirm
Aapka OTP 257226 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Payment confirmation ke liye yeh link click karein: http://tinyurl.com/adse28 — varna transaction cancel ho jayegi.,phishing,Fake_Prize_Scam
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://tinyurl.com/4gju2c,phishing,Credential_Theft
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://verify-now.net/8g5iaz,phishing,Credential_Theft
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://secure-pay.com/l2scs1,phishing,Fake_Prize_Scam
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Event: Tech seminar on 20th October. Registration link portal par maujood hai.,safe,Event_Notice
Emergency! Apki payment fail hui hai. Verify karne ke liye apni details bhejein.,phishing,Misc_Scam
Tax department se notice: Aapki tax file incomplete hai. Jaldi action lein: http://verify-now.net/uhuwdn,phishing,Government_Scam
Aapka OTP 918635 hai. Isay kisi ke sath share na karein.,phishing,OTP_Scam
Bank: Apki transaction successful hui. Amount Rs. 2500.,safe,Bank_Notice
JazzCash: Aapka transfer Rs. 250 complete hogaya.,safe,MobileWallet_Confirm
Alert: New device login detected. Agar yeh aap hain to ignore karein.,safe,System_Alert
Notification: Account settings updated successfully.,safe,System_Alert
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://bit.ly/7pgdfa,phishing,Bank_Scam
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://bit.ly/hqu6m1,phishing,Bank_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/mptq5t,phishing,Scholarship_Job_Scam
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://verify-now.net/fswmvo,phishing,Fake_Prize_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/96bxfw,phishing,Scholarship_Job_Scam
JazzCash: Aapka transfer Rs. 1500 complete hogaya.,safe,MobileWallet_Confirm
Aapki salary deposit fail hui hai. Bank confirm karein: http://verify-now.net/8iols7,phishing,Bank_Scam
Delivery Update: Apka parcel 2nd October ko deliver hoga. Tracking ID: 559751.,safe,Delivery_Update
Aapki debit card limit exceed ho gai. Apna card verify karein: http://tinyurl.com/rwferg,phishing,Bank_Scam
Aapki salary deposit fail hui hai. Bank confirm karein: http://tinyurl.com/9420rh,phishing,Bank_Scam
Delivery company: Apke parcel ka shipment address confirm karein: http://tinyurl.com/jw5x6v,phishing,Delivery_Scam
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://verify-now.net/b95622,phishing,Credential_Theft
JazzCash: Suspicious transaction detect hui. Account verify karein: http://secure-pay.com/chu85z,phishing,MobileWallet_Scam
Security Alert: Aapka account unauthorized login detect hua. Agar yeh aap nahi to yeh form bharain: http://tinyurl.com/gxbybi,phishing,Credential_Theft
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
University: Aapka email deactivate ho raha hai. Reactivate karne ke liye credentials provide karein.,phishing,Credential_Theft
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Notification: Account settings updated successfully.,safe,System_Alert
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://verify-now.net/9pvsyf,phishing,Delivery_Scam
University: Aapka email deactivate ho raha hai. Reactivate karne ke liye credentials provide karein.,phishing,Credential_Theft
JazzCash: Aapka transfer Rs. 2500 complete hogaya.,safe,MobileWallet_Confirm
Emergency! Apki payment fail hui hai. Verify karne ke liye apni details bhejein.,phishing,Misc_Scam
Account recovery: Apna username aur password yahan enter karein: http://verify-now.net/h90pi2,phishing,Credential_Theft
Aapki debit card limit exceed ho gai. Apna card verify karein: http://verify-now.net/2zcije,phishing,Bank_Scam
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://secure-pay.com/pkd5nj,phishing,Scholarship_Job_Scam
Delivery company: Apke parcel ka shipment address confirm karein: http://bit.ly/6o4z2o,phishing,Delivery_Scam
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://bit.ly/nn57hu,phishing,Bank_Scam
Notification: Account settings updated successfully.,safe,System_Alert
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://verify-now.net/0ks4va,phishing,Bank_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://bit.ly/bepcqp,phishing,Delivery_Scam
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://tinyurl.com/jd02p8,phishing,Bank_Scam
University: Kal class online 10:00 AM par shuru hogi. Zoom link department se bheji jayegi.,safe,University_Notice
JazzCash: Suspicious transaction detect hui. Account verify karein: http://secure-pay.com/mybfbq,phishing,MobileWallet_Scam
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://tinyurl.com/ey6fef,phishing,Fake_Prize_Scam
Congratulations! Ap lucky draw jeet gaye hain. Prize claim karne ke liye bank details dein.,phishing,Fake_Prize_Scam
Aapka OTP 372876 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://secure-pay.com/lyt137,phishing,Bank_Scam
JazzCash: Aapka transfer Rs. 500 complete hogaya.,safe,MobileWallet_Confirm
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://secure-pay.com/g8508j,phishing,Government_Scam
Easypaisa: Ap ne Rs. 250 ka payment successful kiya. Receipt sent.,safe,MobileWallet_Confirm
Bank: Aapka statement ready hai. Portal par login karein.,safe,Bank_Notice
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://verify-now.net/j41jbs,phishing,Government_Scam
College admin: Exam schedule attach kiya ja raha hai. Please check the portal.,safe,University_Notice
Aapki salary deposit fail hui hai. Bank confirm karein: http://verify-now.net/c9aj2c,phishing,Bank_Scam
Service Alert: Apka subscription cancel hone wala hai. Renew karne ke liye yeh link open karein: http://tinyurl.com/iaugkp,phishing,Misc_Scam
Scholarship committee ne apko select kar liya hai. Details ke liye apna CNIC bhejein.,phishing,Scholarship_Job_Scam
Aapka OTP 910923 hai. Isay kisi ke sath share na karein.,phishing,OTP_Scam
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://bit.ly/8s0owg,phishing,MobileWallet_Scam
JazzCash: Aapka transfer Rs. 1200 complete hogaya.,safe,MobileWallet_Confirm
Reminder: University fee due date 15 October. Please visit student portal.,safe,Event_Notice
Aapka OTP 289151 hai. Isay kisi ke sath share na karein.,phishing,OTP_Scam
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://bit.ly/22cyxr,phishing,MobileWallet_Scam
Mobile carrier: Apki SIM suspend ho jayegi. Service continue rakhne ke liye OTP bhejein.,phishing,MobileWallet_Scam
Service Alert: Apka subscription cancel hone wala hai. Renew karne ke liye yeh link open karein: http://secure-pay.com/ugieqy,phishing,Misc_Scam
Aapko 5000 PKR reward mila hai. Claim karne ke liye form bharain: http://verify-now.net/u0xw0f,phishing,Fake_Prize_Scam
Job offer: Ap select ho gaye hain. Joining form bharne ke liye yeh link open karein: http://verify-now.net/jrmejz,phishing,Scholarship_Job_Scam
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
JazzCash: Suspicious transaction detect hui. Account verify karein: http://tinyurl.com/50vko9,phishing,MobileWallet_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://tinyurl.com/gdhefn,phishing,Bank_Scam
Delivery company: Apke parcel ka shipment address confirm karein: http://tinyurl.com/ghfzq1,phishing,Delivery_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://bit.ly/2yn8cv,phishing,Delivery_Scam
Aapka university scholarship delayed hai. Details ke liye apna account number dein.,phishing,Scholarship_Job_Scam
University: Kal class online 10:00 AM par shuru hogi. Zoom link department se bheji jayegi.,safe,University_Notice
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
Mobile operator: Apka monthly bill generate ho gaya hai. Paybill number 12345.,safe,MobileOperator
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://bit.ly/06jqay,phishing,MobileWallet_Scam
Event: Tech seminar on 20th October. Registration link portal par maujood hai.,safe,Event_Notice
Aapko exam result ki duplicate copy bhejni hai. Fees jama karne ke liye link.,phishing,Misc_Scam
Easypaisa: Aapko refund mil raha hai. Refund claim karne ke liye link par click karein: http://verify-now.net/m913c6,phishing,MobileWallet_Scam
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://tinyurl.com/wrjood,phishing,Government_Scam
Aapka parcel hold pe hai. Delivery release karne ke liye payment karein: http://secure-pay.com/otceso,phishing,Delivery_Scam
Aapka bank account temporary block kar diya gaya hai. Turant apni maloomat update karein: http://tinyurl.com/28m071,phishing,Bank_Scam
Easypaisa: Ap ne Rs. 500 ka payment successful kiya. Receipt sent.,safe,MobileWallet_Confirm
Aapki salary deposit fail hui hai. Bank confirm karein: http://tinyurl.com/ov5t9m,phishing,Bank_Scam
Tax department se notice: Aapki tax file incomplete hai. Jaldi action lein: http://secure-pay.com/fxlhjk,phishing,Government_Scam
Aapki debit card limit exceed ho gai. Apna card verify karein: http://tinyurl.com/0u4snn,phishing,Bank_Scam
Delivery Update: Apka parcel 2nd October ko deliver hoga. Tracking ID: 395638.,safe,Delivery_Update
Notification: Account settings updated successfully.,safe,System_Alert
Aapka OTP 409472 mobile par bheja gaya hai. Agar aap ne nahi manga to ignore karein.,phishing,OTP_Scam
Bank Alert: Apke account me suspicious activity nazar ayi. Verify karne ke liye yeh link open karein: http://bit.ly/fj9ox8,phishing,Bank_Scam
NADRA: Aapki ID verification pending hai. Verification ke liye form bharain: http://bit.ly/m81z44,phishing,Government_Scam
JazzCash: Suspicious transaction detect hui. Account verify karein: http://verify-now.net/d4gdw3,phishing,MobileWallet_Scam
Notification: Account settings updated successfully.,safe,System_Alert
